명칭,종류,도로명주소,지번
동운지구대,지구대,광주 북구 북문대로98번길 5 동운지구대 임시청사,
건국지구대,지구대,광주 북구 본촌마을길102번길 17 건국파출소,
양림파출소,파출소,광주 남구 천변좌로 410 양림파출소,
송정파출소,파출소,광주 광산구 신흥신기안길 31-6 송정파출소,
동천파출소,파출소,광주 서구 유림로98번길 6,
두암지구대,지구대,광주 북구 군왕로 146 두암파출소,
도산파출소,파출소,광주 광산구 상무대로 93 광산경찰서송정지구대,
학서파출소,파출소,광주 동구 양림로119번길 13,
농성파출소,파출소,광주 서구 화정로 316 농성지구대,
산수파출소,파출소,광주 동구 필문대로 157,
광주광산경찰서하남파출소,파출소,광주 광산구 고봉로 124,
염주파출소,파출소,광주 서구 염화로134번길 18,
풍암파출소,파출소,광주 서구 풍암1로 33,
비아파출소,파출소,광주 광산구 비아중앙로31번길 14,
주월파출소,파출소,광주 남구 회재로1217번길 7,
광주동부경찰서지산파출소,파출소,광주 동구 지호로 131,
석곡파출소,파출소,광주 북구 동문대로 642,
광주동부경찰서지원파출소,파출소,광주 동구 남문로 570,
대촌파출소,파출소,광주 남구 고싸움로 136 대촌파출소,
평동파출소,파출소,광주 광산구 평동로 790-16,
광주북부경찰서우치공원임시파출소,파출소,,광주 북구 생용동 107-1
광주북부경찰서무등산장임시파출소,파출소,광주 북구 무등로 1550,
본량파출소,파출소,광주 광산구 용진로 395,
삼도파출소,파출소,광주 광산구 삼도로 341-3,
동곡파출소,파출소,광주 광산구 동곡로 155,
임곡파출소,파출소,광주 광산구 하림길 1,
수완지구대,지구대,광주 광산구 수완로 63,
양동치안센터,치안센터,광주 서구 경열로 149,
광주광산경찰서 첨단지구대,지구대,광주 광산구 첨단중앙로106번길 65-15,
광주서부경찰서 상무지구대,지구대,광주 서구 상무연하로 106,
우산지구대,지구대,광주 북구 중문로 63,
금호지구대,지구대,광주 서구 운천로 30 금호지구대,
송정파출소,파출소,광주 광산구 상무대로 342 송정치안센타,
일곡지구대,지구대,광주 북구 설죽로 489,
광주광산경찰서 월곡지구대,지구대,광주 광산구 사암로 274,
광주동부경찰서 금남지구대,지구대,광주 동구 예술길 31-5 금남지구대,
화정지구대,지구대,광주 서구 화운로 160,
우산지구대,지구대,광주 광산구 사암로106번길 3,
광주남부경찰서 방림지구대,지구대,광주 남구 대남대로149번길 8,
용봉지구대,지구대,광주 북구 문화소통로 78,
문흥지구대,지구대,광주 북구 대천로 146,
역전지구대,지구대,광주 북구 태봉로 57,
효덕지구대,지구대,광주 남구 화산로 27,
백운지구대,지구대,광주 남구 월산로 30,
