도서관,소재지
무등도서관,광주광역시 북구 면앙로 130
사직도서관,광주광역시 남구 제중로 56
산수도서관,광주광역시 동구 경양로 355
계림꿈나무도서관,광주광역시 동구 경양로247번길 26
상록도서관,광주광역시 서구 상무대로 1171번길 11
어린이생태학습도서관,광주광역시 서구 풍암공원로 8
서구공공도서관,광주광역시 서구 마재로 3
문화정보도서관,광주광역시 남구 봉선로 208
푸른길도서관,광주광역시 남구 금당로 140
청소년도서관,광주광역시 남구 제석로 100
일곡도서관,광주광역시 북구 일곡로 55
운암도서관,광주광역시 북구 북문대로 118
장덕도서관,광주광역시 광산구 풍영로 179
이야기꽃도서관,광주광역시 광산구 선운중앙로 67번길 6
첨단도서관,광주광역시 광산구 임방울대로 673-12
신가도서관,광주광역시 광산구 신가로40번길 24
운남어린이도서관,광주광역시 광산구 목련로217번길 10
광주학생독립운동기념관,광주광역시 서구 학생독립로 30
금호평생교육관,광주광역시 남구 월산로503
광주학생교육문화회관,광주광역시 서구 상무 민주로61
광주중앙도서관,광주광역시 동구 장동로 23-16
광주송정도서관,광주광역시 광산구 송정공원로 8-13
석봉도서관,광주광역시 북구 설죽로 315번길 8
디지털정보도서관,광주광역시 동구 금남로 245
